cou_label,cou3,Employment,GDP,FDI stock outward,FDI stock inward,Value added exports,Value added imports,Gross exports,Gross imports
Australia,AUS,0.768533783,0.704293193,0.385646825,0.378963149,0.470807127,0.500526321,0.171856319,0.200021933
Austria,AUT,0.688276138,0.702989145,0.703132917,0.881694867,0.602635024,0.450066795,0.272394818,0.19858253
Belgium,BEL,0.769990463,0.767532146,0.796073163,0.764622549,0.714525491,0.536481268,0.245348003,0.219420563
Brazil,BRA,0.638986778,0.710300254,,,0.494786781,0.420125541,0.139062983,0.26555733
Canada,CAN,0.787320709,0.707941602,0.49780475,0.698250025,0.455176133,0.517423119,0.153359782,0.186253981
Switzerland,CHE,0.753369293,0.735582827,0.689531896,0.855918838,0.646738355,0.463807286,0.286426435,0.182627199
Chile,CHL,0.660333939,0.615244121,0.320512357,0.220191398,0.358438204,0.414579094,0.138952041,0.167498352
China,CHN,0.368842926,0.481943007,,,0.409429165,0.464734581,0.085126623,0.139449541
Colombia,COL,0.619528618,0.551,0.092993,0.333383,0.246495216,0.468008064,0.114772204,0.166509958
Czech Republic,CZE,0.587711029,0.594641048,0.810410369,0.539834674,0.489729723,0.434761517,0.141729405,0.135248497
Germany,DEU,0.70215538,0.685551675,0.791053997,0.874827582,0.511799653,0.434026729,0.162235059,0.195566279
Denmark,DNK,0.776369476,0.762198277,0.606021092,0.775166247,0.660466626,0.696158517,0.382818077,0.370017694
Spain,ESP,0.747525253,0.74427889,0.642880263,0.462920717,0.638239303,0.474873875,0.311239599,0.213037998
Estonia,EST,0.640556183,0.681533393,0.891416205,0.752216243,0.631827463,0.509351875,0.26780174,0.193147787
Finland,FIN,0.728876877,0.712335085,0.322588656,0.704197611,0.566440437,0.562364551,0.286418445,0.277943538
France,FRA,0.751294556,0.788890977,0.874330654,0.898432095,0.679564918,0.459144661,0.288819821,0.22235955
United Kingdom,GBR,0.796124115,0.796293408,0.445828577,0.581648606,0.678114938,0.517510316,0.384850157,0.22612775
Greece,GRC,0.702579193,0.828490737,0.969329472,0.69282181,0.715697698,0.452205808,0.546169589,0.216371144
Hungary,HUN,0.649527435,0.654080992,0.717227675,0.697307633,0.531067563,0.434188087,0.173289507,0.147276341
Indonesia,IDN,0.446971397,0.433292968,,,0.277514315,0.548955903,0.109465288,0.160785668
India,IND,0.282574062,0.529891902,,,0.628511651,0.490387278,0.327873469,0.265263474
Ireland,IRL,0.76887001,0.743439845,0.863567873,0.792907543,0.596560804,0.631880815,0.536118115,0.640472254
Iceland,ISL,0.761048203,0.697114374,0.620366,0.26158276,0.580020347,0.689565487,0.405564957,0.3954933
Israel,ISR,0.793543396,0.818438197,0.250012685,0.450279045,0.648603656,0.510472922,0.349353559,0.221751249
Italy,ITA,0.684162369,0.744390581,0.56309832,0.622327183,0.584355476,0.439615167,0.177371245,0.188525124
Japan,JPN,0.692353516,0.725799678,0.42035829,0.564235648,0.520388744,0.489005826,0.17569507,0.169762003
Korea,KOR,0.610473747,0.594242134,0.384918619,0.393748047,0.434558476,0.541398065,0.165535091,0.179260668
Luxembourg,LUX,0.860463181,0.874696919,0.217652665,0.61633697,0.898566088,0.624711082,0.817377334,0.65425862
Latvia,LVA,0.679822311,0.802,0.79647058,0.6392141,0.528163808,0.647320323,0.275526438,0.143044645
Mexico,MEX,0.637338562,0.626653028,,,0.369772241,0.313464589,0.048915985,0.076954862
Netherlands,NLD,0.806104584,0.765683649,0.423083031,0.480562815,0.682607837,0.665937079,0.17296561,0.166856731
Norway,NOR,0.775249329,0.599200913,0.262720131,0.37219299,0.354588476,0.589529911,0.188811531,0.338132938
New Zealand,NZL,0.74582222,0.696988517,,,0.592425396,0.480982569,0.257617415,0.243399831
Poland,POL,0.569806404,0.63452204,0.668747538,0.578907723,0.547667838,0.466268371,0.165689502,0.139160184
Portugal,PRT,0.638302689,0.76514911,0.7013255,0.641587325,0.636943255,0.447928265,0.295937409,0.162787544
Russian Federation,RUS,0.61176918,0.597811586,,,0.415527623,0.563095282,0.105599438,0.217427911
Slovak Republic,SVK,0.592309914,0.632743014,0.713963891,0.512334156,0.507480141,0.406562771,0.082245503,0.08242549
Slovenia,SVN,0.605123787,0.650466395,0.542103595,0.698342798,0.560173096,0.42958788,0.197473572,0.137315283
Sweden,SWE,0.782427368,0.729260557,0.443582994,0.410486143,0.615323241,0.520705952,0.287484612,0.267182984
Turkey,TUR,0.504034271,0.648905669,0.688490696,0.537944066,0.581614422,0.336206147,0.221254961,0.087655275
United States,USA,0.804691544,0.780521764,0.803483793,0.579763636,0.592942504,0.526677079,0.300134499,0.164833924
South Africa,ZAF,0.695449371,0.68045521,,,0.471770568,0.416286501,0.139450195,0.163723635
