Membership,cou3,Sector_id,Sector_name,Sector_code,Restriction_on_foreign_entry,Restrictions_movement_people,Other_discriminatory_measures,Barriers_to_competition,Regulatory_transparency,stri_score,OECD_average,all_average,minimum,maximum
1,AUT,1,Computer,CS,0.015303294,0.109698661,0.015553962,0.017747307,0.083384767,0.241687998,,0.200252637,0.093978629,0.428188264
1,AUT,2,Construction,CO,0.015194135,0.093350537,0.015263304,0.012842388,0.071002021,0.20765239,,0.198082283,0.055332929,0.421278685
1,AUT,3,Legal,PSleg,0.119122256,0.188071012,0.007728028,0.021021576,0.034331888,0.370274782,,0.334554046,0.077095874,1
1,AUT,4,Accounting,PSacc,0.108123768,0.139221102,0.015127742,0.008229965,0.038359631,0.309062213,,0.280189514,0.089103065,1
1,AUT,5,Architecture,PSarc,0.060707703,0.133737728,0.011168255,0.010761248,0.057872195,0.27424714,,0.225489601,0.082050867,0.59289366
1,AUT,6,Engineering,PSeng,0.085394477,0.116569862,0.009760723,0.009743789,0.057196077,0.278664947,,0.198548734,0.079054408,0.459289134
1,AUT,7,Telecommunication,TC,0.03806439,0.029980808,0.005905078,0.050299373,0.023269409,0.147519067,,0.231618494,0.10022065,0.607443333
1,AUT,8,Distribution,DS,0.031872977,0.03263746,0,0.034842694,0.042340487,0.141693622,,0.134246498,0.03925316,0.400940925
1,AUT,9,Broadcasting,ASbrd,0.232220292,0.046834345,0.045099739,0.034475279,0.026019079,0.38464871,,0.280014873,0.114483953,0.778187335
1,AUT,10,Motion pictures,ASmot,0.037171476,0.08940804,0.026254741,0,0.037335226,0.190169498,,0.1832757,0.055920966,0.711170495
1,AUT,11,Sound recording,ASsou,0.020979021,0.089160841,0.040209789,0.023601398,0.055069931,0.229020983,,0.167644858,0.065559439,0.360139847
1,AUT,12,Commercial banking,FSbnk,0.082343515,0.038036853,0,0.032655266,0.046187606,0.19922325,,0.19230032,0.079243444,0.530861437
1,AUT,13,Insurance,FSins,0.145964929,0.027566396,0.009131725,0.00546001,0.017179061,0.205302119,,0.20339027,0.052792784,0.631430268
1,AUT,14,Air transport,TRair,0.197580644,0.02605459,0,0.12406948,0.01651675,0.364221454,,0.421012789,0.133684859,0.668191671
1,AUT,16,Road transport,TRrof,0.075812275,0.06498195,0,0.043321299,0.010830325,0.194945842,,0.151538596,0.039711192,0.371841162
1,AUT,17,Rail transport,TRrai,0.031174108,0.04910757,0,0.049433229,0.038114523,0.167829424,,0.224660486,0.070322663,0.99999994
1,AUT,18,Courier,CR,0,0.044064531,0,0.075848786,0.036840839,0.156754151,,0.258679181,0.087286301,0.858453155
1,AUT,19,Logistics cargo-handling,LScar,0.011463508,0.045228748,0,0.064925141,0.040573869,0.162191272,,0.231490895,0.109598078,1
1,AUT,20,Logistics storage and warehouse,LSstg,0.012040719,0.04750611,0,0.058452219,0.042616848,0.160615891,,0.1931936,0.085416131,1
1,AUT,21,Logistics freight forwarding,LSfgt,0.01306465,0.051545984,0,0.01057049,0.046240944,0.121422067,,0.149287626,0.059939034,0.571834207
1,AUT,22,Logistics customs brokerage,LScus,0.015685901,0.061888014,0,0.012691321,0.055518586,0.145783827,,0.18402867,0.071965016,0.99999994
1,DEU,1,Computer,CS,0.015303294,0.07313244,0,0,0.083384767,0.171820492,,0.200252637,0.093978629,0.428188264
1,DEU,2,Construction,CO,0.015194135,0.070012903,0.015263304,0,0.028400809,0.128871143,,0.198082283,0.055332929,0.421278685
1,DEU,3,Legal,PSleg,0.064975776,0.130203009,0,0.021021576,0.025748916,0.24194926,,0.334554046,0.077095874,1
1,DEU,4,Accounting,PSacc,0.048055008,0.09638384,0,0,0.028769723,0.173208565,,0.280189514,0.089103065,1
1,DEU,5,Architecture,PSarc,0.024283081,0.100303296,0,0.021522496,0.057872195,0.203981057,,0.225489601,0.082050867,0.59289366
1,DEU,6,Engineering,PSeng,0.048796844,0.083264187,0,0.019487578,0.057196077,0.20874469,,0.198548734,0.079054408,0.459289134
1,DEU,7,Telecommunication,TC,0.028548293,0.019987205,0,0.090538871,0.031025879,0.170100242,,0.231618494,0.10022065,0.607443333
1,DEU,8,Distribution,DS,0.031872977,0.021758307,0,0.023228463,0.010585122,0.087444864,,0.134246498,0.03925316,0.400940925
1,DEU,9,Broadcasting,ASbrd,0.129011273,0.031222897,0.011274935,0.022983519,0.026019079,0.220511705,,0.280014873,0.114483953,0.778187335
1,DEU,10,Motion pictures,ASmot,0.055757213,0.05960536,0.013127371,0.009170055,0.037335226,0.174995229,,0.1832757,0.055920966,0.711170495
1,DEU,11,Sound recording,ASsou,0.020979021,0.059440561,0,0.023601398,0.055069931,0.159090906,,0.167644858,0.065559439,0.360139847
1,DEU,12,Commercial banking,FSbnk,0.027447838,0.025357902,0,0.065310532,0.034640704,0.152756974,,0.19230032,0.079243444,0.530861437
1,DEU,13,Insurance,FSins,0.097309953,0.015752226,0,0.01092002,0.022905415,0.146887615,,0.20339027,0.052792784,0.631430268
1,DEU,14,Air transport,TRair,0.197580644,0.017369727,0,0.12406948,0.01651675,0.35553661,,0.421012789,0.133684859,0.668191671
1,DEU,15,Maritime transport,TRmar,0.108639423,0.051733058,0.006466632,0.007501293,0.020175892,0.194516286,,0.239545614,0.085876875,0.433005661
1,DEU,16,Road transport,TRrof,0.075812275,0.0433213,0,0.028880866,0.010830325,0.158844769,,0.151538596,0.039711192,0.371841162
1,DEU,17,Rail transport,TRrai,0.031174108,0.03273838,0,0.115344202,0.038114523,0.21737121,,0.224660486,0.070322663,0.99999994
1,DEU,18,Courier,CR,0.016373705,0.029376354,0,0.050565857,0.049121119,0.145437032,,0.258679181,0.087286301,0.858453155
1,DEU,19,Logistics cargo-handling,LScar,0.011463508,0.038767498,0,0.083475181,0.040573869,0.174280047,,0.231490895,0.109598078,1
1,DEU,20,Logistics storage and warehouse,LSstg,0.012040719,0.040719523,0,0.058452219,0.042616848,0.153829306,,0.1931936,0.085416131,1
1,DEU,21,Logistics freight forwarding,LSfgt,0.01306465,0.044182272,0,0.01057049,0.046240944,0.11405836,,0.149287626,0.059939034,0.571834207
1,DEU,22,Logistics customs brokerage,LScus,0.015685901,0.053046869,0,0,0.055518586,0.124251351,,0.18402867,0.071965016,0.99999994
