,AUS,BEL,BRA,CAN,MEX,CHN,CZE,ESP,FRA,GBR,ITA,JPN,KOR,MYS,NLD,RUS,SGP,SWE,TWN,USA,ZAF,ARE,DEU,SEC,UKR
MAR,,,,,,,,636536.384,1592275.84,,,,,,,,,,,,,,,,
ARG,,,3097962.496,,,,,,,,,,,,,,,,,2501678.848,,,,,
AUS,,,,,,,,,,,,,,,,,,,,6619674.624,,,,,
AUT,,,,,,,,,,,,,,,,,,,,,,,14078543.87,,
BEL,,,,,,,,,10403437.57,,,,,,10898957.31,,,,,,,,15970938.88,,
BLR,,,,,,,,,,,,,,,,2092578.432,,,,,,,,,
BRA,,,,,,,,,,,,,,,,,,,,8627452.928,,,,,
CAN,,,,,,,,,,,,,,,,,,,,88776531.97,,,,,
MEX,,,,,,,,,,,,,,,,,,,,81827217.41,,,,,
CHE,,,,,,,,,,,,,,,,,,,,,,,10734188.54,,
CHN,,,,,,,,,,,,30248833.02,20288802.82,,,,,,20456783.87,,,,,,
COL,,,,,,,,,,,,,,,,,,,,2120205.952,,,,,
CZE,,,,,,,,,,,,,,,,,,,,,,,7035601.92,,
DNK,,,,,,,,,,,,,,,,,,2836832,,,,,4728052.736,,
ESP,,,,,,,,,13367658.5,,,,,,,,,,,,,,12062763.01,,
FIN,,,,,,,,,,,,,,,,,,1948715.648,,,,,2644988.928,,
FRA,,,,,,,,,,,,,,,,,,,,16573443.07,,,27525662.72,,
GBR,,,,,,,,,,,,,,,,,,,,21914146.82,,,19926245.38,,
HKG,,,,,,27511062.53,,,,,,17445922.82,,,,,,,13399209.98,,,,,,
HUN,,,,,,,,,,,,,,,,,,,,,,,5991046.144,,
IDN,,,,,,,,,,,,4172370.944,,,,,3084625.664,,,,,,,,
IRL,,,,,,,,,,7404637.696,,,,,,,,,,4997049.856,,,,,
ITA,,,,,,,,,12811920.38,,,,,,,,,,,,,,20537249.79,,
JPN,,,,,,14351828.99,,,,,,,,,,,,,,33115052.03,,,,,
KAZ,,,,,,,,,,,,,,,,1040389.376,,,,,,,,,
KOR,,,,,,,,,,,,22026180.61,,,,,,,,17392089.09,,,,,
MYS,,,,,,,,,,,,12273844.22,,,,,7469081.088,,,10312994.82,,,,,
NLD,,,,,,,,,,,,,,,,,,,,9120992.256,,,13095852.03,,
NOR,,,,,,,,,,,,,,,,,,2602567.424,,,,,,,
PHL,,,,,,,,,,,,5573256.192,,,,,,,,5546230.272,,,,,
POL,,,,,,,,,,,,,,,,,,,,,,,7464302.08,,
PRT,,,,,,,,4677033.984,,,,,,,,,,,,,,,2844072.448,,
ROU,,,,,,,,,,,1601798.016,,,,,,,,,,,,1199213.952,,
RUS,,,,,,,,,,,,,,,,,,,,,,,1559397.376,,2519437.824
SAU,,,,,,,,,,,,,,,,,,,,3113651.456,,,,,
SGP,,,,,,,,,,,,14741092.35,,14362310.66,,,,,,13581001.73,,,,,
SVK,,,,,,,1000441.664,,,,,,,,,,,,,,,,2184178.944,,
SWE,,,,,,,,,,,,,,,,,,,,,,,6485200.896,,
THA,,,,,,,,,,,,11444927.49,,,,,,,,5202716.672,,,,,
TWN,,,,,,,,,,,,19065518.08,,,,,,,,8975511.552,,,,,
USA,,,,98119827.46,45646209.02,24096448.51,,,,19498440.7,,62517215.23,18546333.7,,,,,,19959261.18,,,,23676246.02,,
VEN,,,,,,,,,,,,,,,,,,,,2644303.104,,,,,
VNM,,,,,,,,,,,,1425067.008,1057203.968,,,,,,1251972.992,,,,,,
ZAF,,,,,,,,,,,,,,,,,,,,1470381.824,,,1402091.776,,
ARE,,,,,,,,,,,,,727567.168,,,,,,,,,,,,
BGD,,,,,,628900.672,,,,,,,,,,,,,,,,,,,
BWA,,,,,,,,,,,,,,,,,,,,,586467.008,,,,
CHL,,,,,,,,,,,,,,,,,,,,1425070.72,,,,,
CRI,,,,,,,,,,,,,,,,,,,,1827526.272,,,,,
DEU,,,,,,,,,18205646.85,,14731758.59,,,,15204615.17,,,,,22747260.93,,,,,
DZA,,,,,,,,,719281.216,,,,,,,,,,,,,,,,
EST,,,,,,,,,,,,,,,,,,,,,,,,835319.36,
GRC,,,,,,,,,,,1892232.32,,,,,,,,,,,,1573214.08,,
GTM,,,,,,,,,,,,,,,,,,,,720681.792,,,,,
HND,,,,,,,,,,,,,,,,,,,,602960.192,,,,,
HRV,,,,,,,,,,,553697.728,,,,,,,,,,,,512844.32,,
ISR,,,,,,,,,,,,,,,,,,,,3139469.056,,,,,
JAM,,,,,,,,,,,,,,,,,,,,557868.032,,,,,
LUX,,1200728.32,,,,,,,679295.68,,,,,,,,,,,,,,1068437.632,,
MLT,,,,,,,,,574325.184,,,,,,,,,,,,,,,,
NZL,1559893.888,,,,,,,,,,,,,,,,,,,1029799.744,,,,,
OMN,,,,,,,,,,,,,,,,,,,,,,565815.168,,,
PER,,,,,,,,,,,,,,,,,,,,912952.512,,,,,
SLV,,,,,,,,,,,,,,,,,,,,526847.552,,,,,
SVN,,,,,,,,,754003.648,,1055096.064,,,,,,,,,,,,980199.36,,
TTO,,,,,,,,,,,,,,,,,,,,516649.408,,,,,
TUN,,,,,,,,,1173239.936,,774754.88,,,,,,,,,,,,537416.832,,
TUR,,,,,,,,,,,,,,,,,,,,,,,3776648.704,,
UKR,,,,,,,,,,,,,,,,1264982.528,,,,,,,551891.648,,
