,BRA,CAN,CHN,DEU,ESP,FRA,GBR,ITA,JPN,KOR,MEX,NLD,RUS,SGP,SWE,TWN,USA
ARG,0.24619105,,0.192913679,,,,,,,,,,,,,,
AUS,,,0.209121004,,,,,,,,,,,,,,0.136212864
AUT,,,,0.415229635,,,,,,,,,,,,,
BEL,,,,0.160368174,,,,,,,,0.1413215,,,,,
BLR,,,,,,,,,,,,,0.412565507,,,,
BRA,,,0.201359918,,,,,,,,,,,,,,0.16454973
CAN,,,,,,,,,,,,,,,,,0.574558862
CHE,,,,0.320608474,,,,,,,,,,,,,
CHN,,,,,,,,,,0.153417911,,,,,,0.140181771,
COL,,,,,,,,,,,,,,,,,0.257717598
CZE,,,,0.315631567,,,,,,,,,,,,,
DNK,,,,0.271982418,,,,,,,,,,,,,
ESP,,,,0.173388284,,0.166386775,,,,,,,,,,,
FIN,,,,0.19323321,,,,,,,,,,,,,
FRA,,,,0.204607816,,,,,,,,,,,,,
GBR,,,,0.178929386,,,,,,,,,,,,,
HKG,,,0.407653071,,,,,,,,,,,,,,
HUN,,,,0.315616886,,,,,,,,,,,,,
IDN,,,0.137373127,,,,,,,,,,,0.191003779,,,
IND,,,0.19398274,,,,,,,,,,,,,,
IRL,,,,,,,0.238141155,,,,,,,,,,
ITA,,,,0.185264723,,,,,,,,,,,,,
JPN,,,0.266797185,,,,,,,,,,,,,,0.133133941
KAZ,,,,,,,,,,,,,0.377543412,,,,
KOR,,,0.253094711,,,,,,0.20850924,,,,,,,,
MEX,,,0.149836608,,,,,,,,,,,,,,0.50621141
MYS,,,0.181399688,,,,,,,,,,,,,,
NGA,,,0.300701501,,,,,,,,,,,,,,
NLD,,,,0.230094784,,,,,,,,,,,,,
NOR,,,,,,,,,,,,,,,0.151993767,,
PAK,,,0.308153493,,,,,,,,,,,,,,
PHL,,,0.185742923,,,,,,,,,,,,,,
POL,,,,0.274485367,,,,,,,,,,,,,
PRT,,,,,0.346168863,,,,,,,,,,,,
ROU,,,,0.216966365,,,,0.133460857,,,,,,,,,
RUS,,,0.144325062,0.134860253,,,,,,,,,,,,,
SAU,,,,,,,,,,,,,,,,,0.133951663
SGP,,,0.130267201,,,,,,,,,,,,,0.137888968,0.142338144
SVK,,,,0.211644805,,,,,,,,,,,,,
SWE,,,,0.215793709,,,,,,,,,,,,,
THA,,,0.179746462,,,,,,0.224247823,,,,,,,,
TWN,,,0.212151669,,,,,,0.239652519,,,,,,,,
USA,,0.144769911,0.168587931,,,,,,,,0.130150791,,,,,,
VEN,,,,,,,,,,,,,,,,,0.279666864
VNM,,,0.296041264,,,,,,,0.200195298,,,,,,,
ZAF,,,0.18780311,,,,,,,,,,,,,,
