cou,ZEUR,ZASI,NAFTA,ZOTH,ZSCA,farben
PAK,0,0,0,0,0,grey
IDN,0,1,0,0,0,grey
IND,0,0,0,1,0,grey
ZAF,0,0,0,1,0,grey
HKG,0,0,0,0,0,grey
AUS,0,0,0,1,0,grey
JPN,0,1,0,0,0,purple
NZL,0,0,0,1,0,grey
KOR,0,1,0,0,0,grey
SAU,0,0,0,0,0,grey
MYS,0,0,0,0,0,grey
PHL,0,0,0,0,0,grey
SGP,0,0,0,0,0,grey
THA,0,0,0,0,0,grey
TWN,0,0,0,0,0,grey
VNM,0,0,0,0,0,grey
DEU,1,0,0,0,0,green
ARE,0,0,0,0,0,grey
ARG,0,0,0,0,0,grey
BGD,0,0,0,0,0,grey
BWA,0,0,0,0,0,grey
DZA,0,0,0,0,0,grey
GTM,0,0,0,0,0,grey
HND,0,0,0,0,0,grey
JAM,0,0,0,0,0,grey
KAZ,0,0,0,0,0,grey
MAR,0,0,0,0,0,grey
NGA,0,0,0,0,0,grey
OMN,0,0,0,0,0,grey
PER,0,0,0,0,0,grey
RUS,1,0,0,0,0,grey
SEC,0,0,0,0,0,grey
SLV,0,0,0,0,0,grey
TTO,0,0,0,0,0,grey
TUN,0,0,0,0,0,grey
UKR,0,0,0,0,0,grey
CHN,0,1,0,0,0,red
COL,0,0,0,0,0,grey
CAN,0,0,1,0,0,grey
VEN,0,0,0,0,0,grey
BRA,0,0,0,0,1,grey
CHL,0,0,0,0,1,grey
MEX,0,0,1,0,0,grey
CRI,0,0,0,0,0,grey
AUT,1,0,0,0,0,grey
ROU,0,0,0,0,0,grey
BEL,1,0,0,0,0,grey
BLR,0,0,0,0,0,grey
CHE,1,0,0,0,0,grey
CZE,1,0,0,0,0,grey
DNK,1,0,0,0,0,grey
ESP,1,0,0,0,0,grey
EST,1,0,0,0,0,grey
FIN,1,0,0,0,0,grey
FRA,1,0,0,0,0,grey
NOR,1,0,0,0,0,grey
GBR,1,0,0,0,0,grey
GRC,1,0,0,0,0,grey
HRV,0,0,0,0,0,grey
HUN,1,0,0,0,0,grey
IRL,1,0,0,0,0,grey
TUR,0,0,0,1,0,grey
ISL,1,0,0,0,0,grey
ITA,1,0,0,0,0,grey
LUX,1,0,0,0,0,grey
MLT,0,0,0,0,0,grey
SVK,1,0,0,0,0,grey
NLD,1,0,0,0,0,grey
POL,1,0,0,0,0,grey
PRT,1,0,0,0,0,grey
SVN,1,0,0,0,0,grey
SWE,1,0,0,0,0,grey
ISR,0,0,0,1,0,grey
USA,0,0,1,0,0,blue
