# ----------------------------------------
# stats.oecd.org
# Content Drilldown
# 20100901-20120630
# ----------------------------------------

Page,Continent,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/Other/Export/STAN08BIS/Public/13187,Europe,"26,064","5,982",00:02:46,41.67%,12.85%
/Other/Export/STAN08BIS/Public/13187,Asia,"10,874","2,024",00:02:23,0.00%,9.20%
/Other/Export/STAN08BIS/Public/13187,Americas,"7,707","1,574",00:02:26,20.00%,9.51%
/Other/Export/STAN08BIS/Public/13187,Oceania,"1,299",191,00:04:38,0.00%,5.13%
/Other/Export/STAN08BIS/Public/13187,(not set),208,49,00:02:22,0.00%,12.00%
,,"46,154","9,824",00:02:40,27.27%,11.21%

Month,Pageviews
0000,"1,960"
0001,"2,164"
0002,"3,139"
0003,"2,418"
0004,"1,937"
0005,"1,665"
0006,"2,691"
0007,"2,450"
0008,"2,961"
0009,"1,831"
0010,"3,164"
0011,"2,435"
0012,"3,021"
0013,"2,834"
0014,"2,610"
0015,"2,980"
0016,"1,943"
0017,"2,165"
0018,"3,925"
0019,"3,727"
0020,"4,830"
0021,"5,156"
,"62,006"

