# ----------------------------------------
# stats.oecd.org
# Content Drilldown
# 20100901-20120707
# ----------------------------------------

Page,Country/Territory,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/Other/Export/STAN08BIS/Public/13187,South Korea,"6,277","1,042",00:02:40,0.00%,8.30%
/Other/Export/STAN08BIS/Public/13187,United States,"5,336",958,00:02:06,33.33%,8.35%
/Other/Export/STAN08BIS/Public/13187,Germany,"2,983",756,00:03:06,50.00%,12.39%
/Other/Export/STAN08BIS/Public/13187,United Kingdom,"2,748",781,00:03:12,100.00%,14.98%
/Other/Export/STAN08BIS/Public/13187,Switzerland,"2,588",386,00:02:47,0.00%,9.74%
/Other/Export/STAN08BIS/Public/13187,France,"2,479",773,00:02:46,100.00%,21.36%
/Other/Export/STAN08BIS/Public/13187,Italy,"2,395",672,00:03:18,0.00%,13.33%
/Other/Export/STAN08BIS/Public/13187,China,"2,126",437,00:02:24,0.00%,9.88%
/Other/Export/STAN08BIS/Public/13187,Russia,"1,840",336,00:02:30,0.00%,10.50%
/Other/Export/STAN08BIS/Public/13187,Canada,"1,790",403,00:02:53,0.00%,13.15%
/Other/Export/STAN08BIS/Public/13187,Netherlands,"1,579",243,00:01:26,0.00%,9.57%
/Other/Export/STAN08BIS/Public/13187,Sweden,"1,445",428,00:04:27,0.00%,18.02%
/Other/Export/STAN08BIS/Public/13187,Spain,"1,378",310,00:01:59,0.00%,12.20%
/Other/Export/STAN08BIS/Public/13187,Denmark,"1,327",201,00:01:22,0.00%,8.23%
/Other/Export/STAN08BIS/Public/13187,Australia,"1,218",168,00:04:49,0.00%,4.14%
/Other/Export/STAN08BIS/Public/13187,Belgium,"1,109",226,00:03:19,0.00%,10.61%
/Other/Export/STAN08BIS/Public/13187,Japan,"1,084",226,00:02:06,0.00%,10.08%
/Other/Export/STAN08BIS/Public/13187,Slovakia,806,142,00:01:48,0.00%,11.46%
/Other/Export/STAN08BIS/Public/13187,Taiwan,806,109,00:02:01,0.00%,4.17%
/Other/Export/STAN08BIS/Public/13187,Portugal,672,117,00:00:58,0.00%,5.00%
/Other/Export/STAN08BIS/Public/13187,Greece,579,92,00:00:44,0.00%,7.25%
/Other/Export/STAN08BIS/Public/13187,Poland,420,109,00:07:37,0.00%,12.00%
/Other/Export/STAN08BIS/Public/13187,Hungary,344,67,00:01:07,0.00%,14.63%
/Other/Export/STAN08BIS/Public/13187,Ukraine,336,42,00:00:53,0.00%,5.00%
/Other/Export/STAN08BIS/Public/13187,Austria,310,109,00:02:26,33.33%,21.62%
/Other/Export/STAN08BIS/Public/13187,Israel,243,117,00:04:04,0.00%,27.59%
/Other/Export/STAN08BIS/Public/13187,(not set),210,50,00:02:22,0.00%,12.00%
/Other/Export/STAN08BIS/Public/13187,Luxembourg,201,8,00:00:39,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Norway,193,92,00:19:43,0.00%,30.43%
/Other/Export/STAN08BIS/Public/13187,Brazil,176,58,00:05:08,0.00%,4.76%
/Other/Export/STAN08BIS/Public/13187,Finland,159,42,00:07:53,0.00%,21.05%
/Other/Export/STAN08BIS/Public/13187,Turkey,151,42,00:01:27,0.00%,27.78%
/Other/Export/STAN08BIS/Public/13187,India,134,42,00:11:34,0.00%,12.50%
/Other/Export/STAN08BIS/Public/13187,Lithuania,134,42,00:00:30,0.00%,25.00%
/Other/Export/STAN08BIS/Public/13187,Mexico,134,67,00:03:33,0.00%,18.75%
/Other/Export/STAN08BIS/Public/13187,Hong Kong,126,25,00:02:37,0.00%,13.33%
/Other/Export/STAN08BIS/Public/13187,New Zealand,92,25,00:01:40,0.00%,18.18%
/Other/Export/STAN08BIS/Public/13187,Argentina,84,16,00:00:47,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Ireland,75,25,00:01:41,0.00%,11.11%
/Other/Export/STAN08BIS/Public/13187,Slovenia,33,8,00:05:00,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Belarus,25,25,00:03:59,0.00%,66.67%
/Other/Export/STAN08BIS/Public/13187,Chile,25,8,00:00:46,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Czech Republic,25,8,00:05:49,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Serbia,25,16,00:00:02,0.00%,66.67%
/Other/Export/STAN08BIS/Public/13187,Iran,16,8,00:01:25,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Romania,16,8,00:01:40,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Singapore,16,16,00:01:45,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Costa Rica,8,8,00:00:00,0.00%,100.00%
/Other/Export/STAN08BIS/Public/13187,Croatia,8,8,00:00:00,0.00%,100.00%
/Other/Export/STAN08BIS/Public/13187,Peru,8,8,00:02:00,0.00%,0.00%
/Other/Export/STAN08BIS/Public/13187,Philippines,8,8,00:00:55,0.00%,0.00%
,,"46,323","9,933",00:02:44,27.27%,11.32%

Month,Pageviews
0000,"1,960"
0001,"2,164"
0002,"3,139"
0003,"2,418"
0004,"1,937"
0005,"1,665"
0006,"2,691"
0007,"2,450"
0008,"2,961"
0009,"1,831"
0010,"3,164"
0011,"2,435"
0012,"3,021"
0013,"2,834"
0014,"2,610"
0015,"2,980"
0016,"1,943"
0017,"2,165"
0018,"3,925"
0019,"3,727"
0020,"4,830"
0021,"5,156"
0022,"1,128"
,"63,134"

