id	label	x	y	weight<Occurrences>	weight<Co-occurrences>	cluster	score<Avg. pub. year>	score<Avg. cit. impact>
1	ability	0.8171	0.052	10	143	1	2014.5	1.7628
2	analysis	0.0357	0.6343	74	835	3	2014.4189	2.0345
3	application	-0.1257	-0.1957	23	324	2	2014.4783	3.5116
4	approach	0.1434	-0.0046	74	919	4	2014.5541	2.5571
5	assembly	-0.7854	0.9768	31	376	3	2014.6774	1.6061
6	cancer	-0.0306	-0.2156	20	240	4	2014.55	1.3075
7	cas9	-1.0552	-0.5038	20	303	2	2014.1	5.7427
8	cell	0.6194	-0.1318	209	2161	1	2014.4402	2.0889
9	challenge	0.3584	0.0836	23	253	4	2014.3043	1.5262
10	crispr cas9	-0.6093	-0.5703	11	105	2	2014.9091	6.0223
11	data	-0.1799	0.6827	71	791	3	2014.4507	1.7576
12	development	0.8038	-0.0743	55	662	1	2014.4727	1.8801
13	differentiation	1.357	-0.0291	20	280	1	2014.55	1.9063
14	disease	0.704	0.2652	41	522	1	2014.6098	1.7854
15	dna	-0.9658	-0.0677	30	411	2	2014.5667	4.1364
16	drug	0.2714	-0.1941	20	142	4	2014.2	1.3124
17	effect	-0.0578	0.0362	27	339	4	2014.5926	3.2605
18	efficiency	-0.7892	-0.554	18	233	2	2014.6111	5.3546
19	function	0.5594	-0.2236	39	481	1	2014.2821	1.4179
20	gene	-0.4366	0.1601	77	879	3	2014.4675	2.7223
21	generation	1.1113	0.0003	21	270	1	2014.4762	1.5126
22	genome	-0.7501	0.4893	75	870	3	2014.5333	2.4862
23	genome editing	-0.8438	-0.546	30	374	2	2014.4667	4.853
24	hpsc	1.4233	0.0453	13	221	1	2014.6154	1.9944
25	human genome	-0.8912	0.3911	15	199	3	2014.5333	2.3803
26	human pluripotent stem cell	1.4138	0.0132	16	231	1	2014.5625	1.4138
27	identification	0.1291	0.2488	19	258	4	2014.4737	4.0613
28	interest	-0.0299	-0.4794	11	147	4	2014.2727	2.0274
29	mammalian cell	-0.5927	-0.6654	11	133	2	2014.2727	3.4396
30	method	-0.3398	0.3735	89	1097	3	2014.4382	3.2185
31	mouse	0.5535	-0.4256	42	455	4	2014.5238	1.4776
32	mutation	-0.5447	-0.3705	31	350	2	2014.2903	2.9937
33	need	-0.0508	0.4023	12	138	3	2014.4167	2.0671
34	nuclease	-1.0787	-0.2521	24	363	2	2014.5	11.6275
35	pathway	0.3418	-0.1122	24	317	1	2014.5417	2.7134
36	protein	-0.192	-0.2828	60	564	2	2014.4333	1.6623
37	regenerative medicine	1.2436	0.1562	10	135	1	2014	1.5437
38	result	-0.3656	-0.1487	29	341	2	2014.4138	2.7706
39	rna	-0.8523	-0.3459	35	439	2	2014.3714	4.6018
40	rna seq	-0.3549	0.7831	21	228	3	2014.1429	1.3888
41	sample	-0.3467	0.9341	24	328	3	2014.2083	2.0013
42	sequence	-0.6709	0.3724	53	685	3	2014.6226	3.1759
43	sequencing	-0.6688	0.5719	63	746	3	2014.3968	2.8789
44	site	-0.72	-0.1724	60	709	2	2014.35	3.7109
45	specificity	-0.6131	-0.2976	28	453	2	2014.4643	4.124
46	strategy	0.0471	0.1488	36	400	4	2014.5	1.81
47	study	0.5685	0.1987	55	661	1	2014.4	1.5977
48	system	-0.2261	-0.472	43	520	2	2014.4419	3.6921
49	tcr	0.6142	-0.4061	16	204	4	2014.5625	1.1603
50	technology	-0.2052	0.0906	30	317	3	2014.4667	2.8298
51	tissue	0.6675	0.2091	34	452	1	2014.4706	3.2479
52	tumor	0.2156	-0.4431	16	165	4	2014.75	1.5344
53	variant	-0.5844	0.1612	24	293	3	2014.4583	1.5752
54	vitro	1.1099	-0.0883	11	165	1	2014.5455	1.004
55	vivo	0.8485	-0.2078	17	175	1	2014.5882	1.3094
